Planet Name,Global ESI,Long-term Stability,Atmospheric Retention,Habitability Index,Rank,Habitability_Category
Kepler-372 d,0.3775165537175177,1.0,0.0248285530455383,0.4937239874678665,1616.0,Non-Habitable
Kepler-1482 b,0.3805918187991102,1.0,0.0170451453746913,0.4937049384744934,1617.0,Non-Habitable
Kepler-444 f,0.3827962967797488,0.9999967017263384,0.0115251155768303,0.4937021820231419,1618.0,Non-Habitable
Kepler-1683 b,0.3770351439942523,1.0,0.0258177612726101,0.4936811242516482,1619.0,Non-Habitable
Kepler-790 b,0.3763698365433303,1.0,0.0273600102360147,0.4936569203188681,1620.0,Non-Habitable
HD 64121 b,0.3308806591856177,0.9999767063542148,0.1409167572117875,0.4936166929414308,1621.0,Non-Habitable
Kepler-238 f,0.3691270884560985,1.0,0.0452439679092352,0.4936123378098963,1622.0,Non-Habitable
Kepler-2000 b,0.3752781579567977,1.0,0.0298275081396331,0.4936045806063255,1623.0,Non-Habitable
Kepler-1992 b,0.3811349400741369,1.0,0.0149225012438306,0.4935519702858346,1624.0,Non-Habitable
HD 169830 b,0.3310202045696556,0.9999684589170768,0.1401342740205075,0.4935274947640524,1625.0,Non-Habitable
HD 152581 b,0.3390036006962304,0.9999906881512334,0.1201293814117227,0.4935248830758297,1626.0,Non-Habitable
HD 64114 b,0.3726072330109729,0.999995860153982,0.0358049808881704,0.4934633707293152,1627.0,Non-Habitable
Kepler-539 c,0.3304578278568737,0.9998303111896448,0.1412321944976053,0.4934244461848514,1628.0,Non-Habitable
K2-379 b,0.3758237079916962,0.9999999999976577,0.0273753591907219,0.4933869258332897,1629.0,Non-Habitable
Kepler-403 c,0.3766864788006603,1.0,0.0251448806717159,0.4933722155346733,1630.0,Non-Habitable
HD 219415 b,0.3512659906826596,0.9998204944816076,0.0888957537032391,0.4933582944264599,1631.0,Non-Habitable
Kepler-361 c,0.3751322216604534,1.0,0.0289305671965292,0.4933522242695325,1632.0,Non-Habitable
HD 27442 b,0.3427702540727149,0.9999893053977872,0.1096482611947731,0.4933115708946481,1633.0,Non-Habitable
HD 155358 c,0.3549524643894117,0.999977113046405,0.0791775190582306,0.4933048699202735,1634.0,Non-Habitable
Kepler-417 c,0.3745734952836652,1.0,0.0296452812034722,0.493215803882527,1635.0,Non-Habitable
K2-83 b,0.3775746664346425,0.9999997041244196,0.0221379001168546,0.493214824478018,1636.0,Non-Habitable
HD 177565 b,0.3725474590591116,0.9999979542260928,0.0345090595669107,0.4931749277107657,1637.0,Non-Habitable
HD 180902 b,0.3407119078206457,0.9999789922448008,0.1138290997185875,0.4931154715274806,1638.0,Non-Habitable
Kepler-97 c,0.3489299085906441,0.9999999997798568,0.0928393889880422,0.4930328320268875,1639.0,Non-Habitable
Kepler-846 b,0.37451788068731,1.0,0.0287381937841944,0.4930065791004939,1640.0,Non-Habitable
HD 93385 d,0.3737457959547896,0.999996762589928,0.0304731199853086,0.492966550751435,1641.0,Non-Habitable
Kepler-1688 b,0.3769746311817828,1.0,0.0222355625613065,0.4929344281031527,1642.0,Non-Habitable
HD 206893 b,0.1967934941310259,0.999811519205688,0.4729661304428653,0.4929334289157925,1643.0,Non-Habitable
HD 176986 c,0.3730990942506614,0.999998151011822,0.0308544690116552,0.4927198862312083,1644.0,Non-Habitable
LHS 3844 b,0.3763971432649915,0.9999999999999484,0.0224823912165443,0.4926950498757891,1645.0,Non-Habitable
Kepler-1913 b,0.3758400026339002,1.0,0.0238241218700291,0.4926848256909559,1646.0,Non-Habitable
