P_NAME,P_MASS,P_RADIUS,P_DISTANCE,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_FLUX,P_TEMP_EQUIL,P_TEMP_SURF,P_HABITABLE,P_DENSITY,S_TEMPERATURE,S_MASS,S_RADIUS,S_LUMINOSITY
HAT-P-44 b,111.871,13.922,0.050749078,4.301219,0.0507,0.044,2.8347055,8.0355552,0.57718397,249.11787,1011.68,1118.4512800000002,0,0.041458409,5295.0,0.94,0.95,0.63973484
TOI-178 b,1.5,1.152,0.02607,1.914558,0.02607,1.21060570644227e-07,1.1410887,1.3020833,1.1302807,194.4097,951.2161,1074.2491,0,0.98114642,4316.0,0.65,0.65,0.13212956
GJ 1252 b,1.32,1.193,0.00915,0.5182331,0.00915,0.0,1.0518813,1.1064543,0.92745542,233.96873,996.29778,1125.1618,0,0.77741443,3458.0,0.38,0.39,0.019588447
WASP-1 b,271.415,16.623,0.03889,2.5199454,0.03889,0.0,4.0407522,16.327679,0.98223416,1825.2574,1665.0633,1834.5593768000003,0,0.059088863,6110.0,1.24,1.47,2.7605779
HATS-17 b,425.25654,8.709,0.130855,16.254611,0.1308,0.029,6.9878143,48.829549,5.6067917,72.438127,743.0585,824.042116,0,0.64379282,5846.0,1.13,1.09,1.2387966
WASP-107 b,30.5,10.536,0.055099,5.7214742,0.055,0.06,1.701422,2.8948368,0.27475672,43.75803,654.74253,727.24781288,0,0.026077896,4425.0,0.68,0.67,0.13212956
TOI-1266 c,2.2,1.56,0.10588464,18.80151,0.1058,0.04,1.1875422,1.4102564,0.90401052,2.35167,315.36495,356.15516,0,0.57949392,3600.0,0.45,0.42,0.02630268
LTT 1445 A c,1.54,1.147,0.027271644,3.1239035,0.02661,0.223,1.1587204,1.342633,1.1705606,13.031263,479.41235,541.42092,0,1.020541,3340.0,0.26,0.27,0.0089949758
KOI-12 b,349.613,13.787,0.1629012,17.855182,0.154,0.34,5.035689,25.358163,1.8392807,189.5109,923.84669,1022.18597224,0,0.13340689,6635.0,1.5,1.4,4.2266861
WASP-119 b,390.9309,15.693,0.036361057,2.49979,0.0363,0.058,4.9911085,24.911164,1.5874061,903.47984,1395.7415,1539.3826840000004,0,0.10115377,5650.0,1.02,1.2,1.1885022
WASP-78 b,352.7913,21.633,0.03488,2.17518,0.03488,0.0,4.0383184,16.308016,0.75384901,4762.6322,2116.2232,2329.0306272000003,0,0.034847178,6100.0,1.87,2.46,5.794287
K2-30 b,184.02357,11.646,0.04839,4.098503,0.04839,0.0,3.9751025,15.80144,1.3568126,236.85838,999.35985,1104.9483956,0,0.11650461,5425.0,0.9,0.84,0.55462571
WASP-50 b,466.8287,13.07,0.029301187,1.9551,0.0293,0.009,5.9764182,35.717575,2.7327907,738.38412,1327.8949,1465.0228104000005,0,0.20908881,5400.0,0.89,0.84,0.63386971
WASP-41 b,270.1555,12.33,0.04022,3.0524,0.04022,0.0,4.6808569,21.910422,1.777001,394.56256,1135.3472,1253.9905312,0,0.14412011,5545.0,0.81,0.83,0.63826349
WASP-26 b,270.1555,13.563,0.04,2.7566,0.04,0.0,4.463022,19.918565,1.4685958,1210.2637,1502.5181,1656.4098376000002,0,0.10827957,6034.0,0.86,1.22,1.936422
XO-7 b,225.34147,15.39,0.04424192,2.8641424,0.04421,0.038,3.8264959,14.642071,0.95140161,1381.2515,1552.5666,1711.2629936000003,0,0.061819468,6250.0,1.41,1.48,2.6977394
WASP-47 b,363.6,12.64,0.052000204,4.1591492,0.052,0.0028,5.3633779,28.765823,2.2757771,398.1026,1137.8836,1256.7704256,0,0.18004566,5552.0,1.04,1.14,1.0764652
WASP-87 b,692.8694,15.524,0.02946,1.682795,0.02946,0.0,6.6807293,44.632144,2.8750415,3967.6606,2021.7774,2225.5180304,0,0.18519979,6450.0,1.2,1.63,3.4434993
HD 219134 g,10.80622,3.28,0.3753,94.2,0.3753,0.0,1.8150976,3.2945793,1.0044449,2.1990893,310.21331,349.64378775999995,0,0.3062332,4913.0,0.79,0.77,0.30974193
Kepler-6 b,212.31044,14.617,0.04852,3.2346996,0.04852,0.0,3.8111545,14.524898,0.99369901,656.38465,1289.4049,1422.8377704000002,0,0.067982418,5647.0,1.21,1.39,1.5452544
KELT-6 c,1179.1493,13.0,2.4426995,1276.0,2.39,0.21,9.5238539,90.703792,6.9772148,0.64268471,226.17231,257.53485176000004,0,0.53670883,6272.0,1.13,1.53,3.5892193
WASP-54 b,187.5197,17.71,0.050002206,3.69364,0.04988,0.07,3.2539747,10.588351,0.59787415,1514.3064,1587.6447,1749.7085912000002,0,0.033759128,6100.0,1.08,1.76,3.758374
K2-155 b,3.89,1.8,0.0562,6.342,0.0562,1.7774621396119836e-07,1.4700718,2.1611111,1.2006173,18.686474,529.64094,598.14622,0,0.6670096,4258.0,0.65,0.58,0.059020108
K2-155 d,4.27,1.9,0.1937,40.718,0.1937,3.299871371662647e-07,1.4991226,2.2473684,1.1828255,1.5730436,285.28892,322.189,0,0.62253973,4258.0,0.65,0.58,0.059020108
TOI-163 b,387.7526,16.69,0.058,4.231306,0.058,0.0,4.8200239,23.23263,1.392009,1285.7129,1525.4069,1681.4959624000005,0,0.083403775,6495.0,1.44,1.65,4.3251383
TOI-169 b,251.40353,12.173,0.03524,2.2554477,0.03524,0.0,4.544508,20.652553,1.696587,1441.877,1569.7546,1730.1010416,0,0.13937295,5880.0,1.15,1.29,1.7906059
TOI-431 b,3.07,1.28,0.0113,0.490047,0.0113,0.0,1.548689,2.3984375,1.8737793,2132.2745,1731.0535,1954.9529,0,1.4638901,4850.0,0.78,0.73,0.27227013
HD 108236 b,3.24,1.615,0.045315836,3.795963,0.04527,0.045,1.4164011,2.006192,1.2422241,345.79537,1098.0939,1240.1245,0,0.76917902,5660.0,0.87,0.88,0.70794578
HAT-P-53 b,471.65972,14.773,0.031873615,1.9616241,0.03159,0.134,5.6504111,31.927145,2.1611823,1666.615,1622.1282,1787.5025072000003,0,0.14629271,5956.0,1.09,1.21,1.6481624
TOI-700 d,1.25,1.073,0.16344403,37.42396,0.1633,0.042,1.0793322,1.1649581,1.0857018,0.85982688,245.2216,276.93926,1,1.0118377,3459.0,0.42,0.42,0.022908677
HATS-46 b,54.98459,10.122,0.062055428,4.7423729,0.05367,0.559,2.3307051,5.4321863,0.53667124,246.54401,942.81918,1042.97982128,0,0.053020277,5495.0,0.92,0.85,0.58884366
HATS-51 b,244.09344,15.805,0.048915936,3.3488702,0.04639,0.33,3.9298937,15.444065,0.97716321,1005.0508,1403.9178,1548.3439088000002,0,0.061826208,5758.0,1.19,1.44,2.0417379
WASP-186 b,1341.2426,12.442,0.063267,5.026799,0.06,0.33,10.382659,107.7996,8.6641696,930.53835,1377.1405,1518.995988,0,0.6963647,6361.0,1.22,1.47,3.1622777
TOI-178 c,4.77,1.669,0.037,3.23845,0.037,1.4422251450394134e-07,1.6905617,2.8579988,1.7124019,96.515386,798.45206,901.72614,0,1.0260047,4316.0,0.65,0.65,0.13212956
HATS-65 b,260.93843,16.825,0.045056432,3.105161,0.04497,0.062,3.938143,15.508971,0.92178131,1180.2949,1492.0515,1644.9384440000003,0,0.054786408,6277.0,1.26,1.31,2.3823195
HD 108236 d,6.98,2.539,0.10756244,14.175685,0.1074,0.055,1.6580452,2.7491138,1.0827546,61.468031,712.8783,790.9646168,0,0.42644922,5660.0,0.87,0.88,0.70794578
TOI-270 b,1.58,1.206,0.031988479,3.3601538,0.03197,0.034,1.144603,1.3101161,1.0863317,19.000538,531.73715,600.51356,0,0.90077259,3506.0,0.39,0.38,0.019408859
LP 791-18 b,1.94,1.212,0.00978,0.9479981,0.00978,0.0,1.265172,1.6006601,1.3206766,24.061477,564.19636,637.17114,0,1.0896672,2960.0,0.14,0.18,0.0023014418
HAT-P-15 b,616.5902,11.882,0.098241825,10.8635,0.0965,0.19,7.2036654,51.892796,4.3673452,109.37785,818.17579,906.37066584,0,0.36755977,5568.0,1.0,1.07,1.0
K2-238 b,273.3338,14.572,0.046,3.20466,0.046,0.0,4.3309891,18.757466,1.2872266,1082.6407,1461.2374,1611.1661904000002,0,0.088335618,5630.0,1.19,1.59,2.2908677
K2-34 b,539.67534,13.75,0.0442,2.9956348,0.0442,0.0,6.2649115,39.249116,2.8544811,1285.7468,1525.417,1681.5070320000002,0,0.20759863,6168.0,1.16,1.42,2.5118864
K2-266 b,11.26782,3.3,0.01306,0.658524,0.01306,8.568480044172344e-08,1.8478341,3.4144909,1.0346942,881.27946,1387.9637,1530.8582152,0,0.3135437,4285.0,0.69,0.7,0.1503142
WASP-118 b,163.36462,16.141,0.05453,4.0460435,0.05453,0.0,3.1813671,10.121097,0.62704272,1533.6597,1594.1602,1756.8495792000003,0,0.038847824,6410.0,1.32,1.7,4.5603692
DS Tuc A b,413.179,5.7,0.079427588,8.138268,0.079427588,0.0,8.5139617,72.487544,12.717113,114.8305,833.90009,923.60449864,0,2.2310724,5428.0,1.01,0.96,0.72443596
HATS-13 b,172.58169,13.585,0.041234557,3.0440499,0.04057,0.181,3.5642449,12.703842,0.93513741,295.00073,1049.1803,1159.5516088000002,0,0.068836026,5523.0,0.96,0.89,0.47752927
HAT-P-6 b,419.5356,16.589,0.05239,3.85298,0.05239,0.0,5.0289151,25.289987,1.5245034,1301.6769,1530.1201,1686.6616296000004,0,0.091898452,6570.0,1.79,1.62,3.5727284
HATS-23 b,467.2101,20.849,0.034190737,2.1605156,0.03397,0.114,4.7338391,22.409233,1.0748349,1246.3771,1509.8992,1664.4995232000003,0,0.051553308,5780.0,1.12,1.2,1.428894
XO-2 N b,179.89178,11.131,0.036814426,2.6158618,0.0368,0.028,4.0201158,16.161331,1.4519209,603.21853,1262.2766,1393.1051536,0,0.13043939,5340.0,0.97,0.99,0.81658237
TOI-125 d,13.6,2.93,0.13893334,19.98,0.137,0.168,2.1544462,4.6416382,1.5841769,28.039856,583.06573,648.69004008,0,0.5406747,5320.0,0.86,0.85,0.51880004
HD 26965 b,8.47,2.84,0.2191032,42.378,0.21892806,0.04,1.726961,2.9823944,1.0501389,9.544317,447.61594,505.51187,0,0.3697672,5072.0,0.78,0.87,0.45708819
HD 189733 b,359.1479,12.666,0.03126,2.2185757,0.03126,0.0,5.324967,28.355274,2.2386921,354.01532,1104.982,1220.7102720000005,0,0.17674815,5052.0,0.79,0.75,0.34593938
GJ 357 d,6.1,2.34,0.204,55.661,0.204,3.386470407102625e-07,1.6145704,2.6068376,1.1140332,0.38259533,200.34782,226.26138,2,0.47608255,3505.0,0.34,0.34,0.015922087
WASP-100 b,400.4658,14.908,0.04574,2.84938,0.04574,0.0,5.1829023,26.862477,1.8018833,2788.7378,1851.1927,2038.5571992,0,0.12086687,6900.0,0.77,1.57,5.834451
TOI-178 d,3.01,2.572,0.0592,6.5577,0.0592,1.824286542836495e-07,1.081802,1.1702955,0.4550138,37.701323,631.23178,701.48003088,0,0.1769105,4316.0,0.65,0.65,0.13212956
TOI-178 e,3.86,2.207,0.0783,9.961881,0.0783,2.0980367063972866e-07,1.3224903,1.7489805,0.79246965,21.551449,548.86916,619.86147,0,0.35907098,4316.0,0.65,0.65,0.13212956
TOI-178 f,7.72,2.287,0.1039,15.231915,0.1039,2.4167958967229965e-07,1.8372809,3.3756012,1.4759953,12.239647,476.47699,538.10589,0,0.64538491,4316.0,0.65,0.65,0.13212956
TOI-178 g,3.94,2.87,0.1275,20.7095,0.1275,2.677239928800487e-07,1.171675,1.3728223,0.4783353,8.1279239,430.12493,481.06692328,0,0.16666735,4316.0,0.65,0.65,0.13212956
TOI-1135 b,51.42,9.02,0.082,8.02773,0.082,0.0,2.3876066,5.7006652,0.63200279,253.14671,1016.1148,1123.3118208,0,0.070066828,6122.0,1.12,1.16,1.7021585
TOI-2373 b,2955.8042,10.424,0.11270246,13.33668,0.112,0.112,16.839168,283.55758,27.202377,90.220469,783.2476,868.0893696,0,2.609591,5651.0,1.04,1.1,1.124605
TOI-2416 b,953.48522,9.864,0.08735472,8.275479,0.0831,0.32,9.8317415,96.663141,9.7995885,240.57834,983.30998,1087.3577380800002,0,0.99347004,5808.0,1.12,1.24,1.5739829
TOI-2524 b,203.41018,11.209,0.073,7.18585,0.073,0.0,4.2599344,18.147041,1.6189705,245.10619,1007.9484,1114.3614464000002,0,0.14443488,5831.0,1.01,1.12,1.3061709
TOI-3884 b,16.5,6.0,0.03721248,4.5445697,0.0354,0.32,1.6583124,2.75,0.45833333,7.8244182,417.57965,467.3172964,0,0.076388889,3269.0,0.28,0.3,0.0092896639
tau Cet e,3.93,1.81,0.5467156,162.87,0.538,0.18,1.4735232,2.1712707,1.1995971,1.7401533,290.78463,328.39554,0,0.66276082,5310.0,0.78,0.83,0.49545019
K2-254 c,5.43,2.19,0.0923,12.11839,0.0923,2.2778915924494453e-07,1.5746276,2.4794521,1.1321699,17.684655,522.39482,589.96286,0,0.51697255,4629.0,0.71,0.67,0.15066071
EPIC 220554210 c,3.19,1.6,0.015187008,0.70531,0.015187008,9.239922147043364e-08,1.4120021,1.99375,1.2460937,2642.7466,1826.4744,2062.7158,0,0.77880859,5499.0,0.94,1.0,0.6095369
NSVS 14256825 b,4497.2945,12.3,3.142464,3225.0,3.12,0.12,19.121551,365.6337,29.726317,9.7463155,448.87978,501.62223888,0,2.4167737,40000.0,0.42,0.19,94.18896
Kepler-1390 b,1.76,1.18,0.0662,6.4802167,0.0662,0.0,1.2212802,1.4915254,1.2640046,181.25251,934.69671,1055.5931,0,1.0711903,5753.0,0.98,0.98,0.79432823
Kepler-393 c,2.33,1.33,0.124,14.613612,0.124,0.0,1.3235859,1.7518797,1.3172028,217.34849,978.11263,1104.6245,0,0.99037803,6189.0,1.21,1.38,3.3419504
Kepler-263 c,6.66,2.47,0.242,47.332773,0.242,0.0,1.6420585,2.6963563,1.0916422,5.9754314,398.28324,449.79833,0,0.44196041,5265.0,0.8,0.79,0.34994517
Kepler-1431 b,2.76,1.47,0.0648,5.8660153,0.0648,0.0,1.3702376,1.877551,1.2772456,416.72542,1150.9652,1299.8344,0,0.86887455,5806.0,1.03,1.03,1.7498467
Kepler-237 c,4.98,2.08,0.071,8.103636,0.071,0.0,1.5473302,2.3942308,1.1510725,66.142911,726.47477,820.43909,0,0.55340023,4861.0,0.7,0.72,0.33342641
Kepler-1510 b,11.2,3.36,0.4089,84.703921,0.4089,0.0,1.8257419,3.3333333,0.99206349,14.24839,494.92701,552.09000296,0,0.29525699,6200.0,1.19,1.28,2.3823195
Kepler-169 e,5.48,2.2,0.105,13.767102,0.105,0.0,1.5782614,2.4909091,1.1322314,28.948189,590.88785,667.31498,0,0.51465064,4997.0,0.84,0.76,0.31915379
Kepler-11 f,2.0,2.49,0.25002113,46.6888,0.25,0.013,0.89622143,0.80321285,0.32257544,21.09389,545.91511,616.52534,0,0.12954837,5663.0,0.96,1.06,1.3182567
Kepler-219 c,12.5,3.58,0.165,22.714613,0.165,0.0,1.8685877,3.4916201,0.97531288,60.121819,709.34537,787.0925255200001,0,0.27243377,5786.0,1.17,1.49,1.6368165
Kepler-910 b,0.477,0.82,0.0382,2.364369,0.0382,0.0,0.7626974,0.58170732,0.70939917,2137.3383,1732.0803,1956.1126,0,0.86512094,6230.0,1.26,1.5,3.1188896
Kepler-1037 b,2.18,1.28,0.0198,1.0637887,0.0198,0.0,1.3050383,1.703125,1.3305664,909.22134,1398.837,1579.7666,0,1.039505,5105.0,0.82,0.78,0.35645113
Kepler-992 b,3.26,1.62,0.1339,20.160345,0.1339,0.0,1.4185717,2.0123457,1.2421887,15.01201,501.42897,566.28523,0,0.76678314,4944.0,0.8,0.74,0.26915348
Kepler-10 c,11.4,2.355,0.24303645,45.294301,0.241,0.13,2.2001737,4.8407643,2.0555263,19.709112,535.03278,604.23545,0,0.87283493,5708.0,0.91,1.06,1.1350108
Kepler-1097 b,10.7,3.26,0.5791,187.74703,0.5791,0.0,1.8116867,3.2822086,1.0068125,1.1762317,265.29125,300.40921,0,0.30883818,5211.0,0.82,0.79,0.3944573
Kepler-382 b,2.3,1.32,0.055,5.262155,0.055,0.0,1.3200092,1.7424242,1.3200184,462.6735,1181.4582,1334.2714,0,1.0000139,5600.0,0.88,0.94,1.3995873
Kepler-1310 b,2.67,1.44,0.0148,0.67933627,0.0148,0.0,1.3616779,1.8541667,1.2876157,2934.1112,1874.86,2117.3598,0,0.8941776,5549.0,0.91,0.88,0.64268772
42 Dra b,1233.13,13.0,1.275918,479.1,1.19,0.38,9.7394124,94.856154,7.2966272,109.08642,799.82659,886.2599426400001,0,0.56127902,4200.0,0.98,22.03,142.8894
61 Vir c,18.2,4.46,0.2196315,38.021,0.2175,0.14,2.0200786,4.0807175,0.91495908,17.15457,516.51778,575.7534868800001,0,0.20514778,5577.0,0.94,0.96,0.80352612
Kepler-57 b,115.0,2.19,0.06,5.7293196,0.06,0.0,7.2464761,52.511416,23.977815,126.38557,854.13021,964.60586,0,10.948774,5145.0,0.83,0.73,0.45498806
70 Vir b,2380.45,12.6,0.51924947,116.688,0.481,0.3988,13.744985,188.9246,14.994016,13.314429,471.26334,526.1546206400001,0,1.1900013,5495.0,1.09,1.89,2.82488
Kepler-255 c,9.22,2.99,0.092,9.946047,0.092,0.0,1.7560217,3.083612,1.0313084,77.521889,755.88512,838.1000915200001,0,0.34491919,5573.0,0.87,0.93,0.65614527
K2-111 c,11.08,3.33,0.1159816,15.6805,0.11569,0.071,1.8240963,3.3273273,0.9991974,98.515772,801.79766,888.42023536,0,0.30005928,5775.0,0.84,1.25,1.3152248
Kepler-107 d,7.7,0.86,0.084276809,7.95839,0.08377,0.11,2.992238,8.9534884,10.411033,331.48698,1084.491,1224.7622,0,12.105852,5854.0,1.24,1.45,2.3120648
K2-133 e,3.64,1.73,0.1346,26.5841,0.1346,2.750772861742386e-07,1.4505331,2.1040462,1.2162117,1.8319342,296.36518,334.6979,0,0.70301254,3655.0,0.46,0.46,0.033189446
TOI-3364 b,530.77344,12.229,0.0675,5.8768918,0.0675,0.0,6.5880839,43.402849,3.549174,424.02597,1155.9734,1276.5968464000002,0,0.29022602,5706.0,1.19,1.42,1.9319683
KMT-2016-BLG-2605L b,245.0457,14.0,0.681,1764501.570359033,0.681,6.187365295892334e-07,4.1836903,17.503264,1.2502332,1.3993046895593134e-107,3.3605593769187695e-30,9.65,0,0.089302369,1.220103986120616e-24,0.06,1.5457460865399666,1.8250701603983395e-84
Kepler-52 c,45.4,1.84,0.10379,16.385002,0.10379,0.0,4.9672843,24.673913,13.409735,9.368908,445.67878,503.32415,0,7.2878996,4075.0,0.54,0.52,0.10092529
Kepler-248 b,9.38,3.02,0.066,6.308205,0.066,0.0,1.7623735,3.1059603,1.0284637,87.682339,779.52086,864.00486256,0,0.34055088,5190.0,0.9,0.83,0.38194427
24 Sex b,632.46,13.4,1.3383987,452.8,1.333,0.09,6.870117,47.198507,3.5222767,8.2433883,430.98713,482.01189448,0,0.26285647,5098.0,1.54,4.9,14.588143
24 Sex c,273.32,13.9,2.167464,883.0,2.08,0.29,4.434333,19.663309,1.4146266,3.5232974,343.34623,385.95746808,0,0.1017717,5098.0,1.54,4.9,14.588143
K2-174 b,7.27,2.6,0.126,19.562307,0.126,2.661444865116216e-07,1.6721704,2.7961538,1.0754438,10.623287,459.90109,513.70159464,0,0.41363223,4455.0,0.7,0.68,0.1686553
DENIS-P J082303.1-491201 b,9057.77,11.9,0.3814245,246.36,0.36,0.345,27.589077,761.15714,63.962785,8.588459570882213e-107,5.2894719662443154e-30,9.65,0,5.375024,1.3962889043752396e-24,0.07,1.5457460865399666,3.130353100168632e-84
HIP 63242 b,2917.56,12.5,0.57994425,124.6,0.565,0.23,15.277591,233.4048,18.672384,137.31095,863.21491,955.73354136,0,1.4937907,4830.0,1.54,10.28,42.657952
GJ 504 b,1271.3,13.0,43.5,199770325.21671396,43.5,4.945119940906037e-06,9.8889993,97.792308,7.5224852,0.001135067,46.757909,60.896668264,0,0.57865271,6234.0,1.22,1.26,2.1478305
2MASS J01225093-2439505 b,7786.5,11.209,52.0,455986543.3059037,52.0,5.406719922545981e-06,26.356498,694.665,61.97386,7.0468222e-06,13.124961,24.034957256,0,5.5289375,3530.0,0.4,0.37,0.019054607
RR Cae b,1334.886,13.0,5.3,4343.5,5.3,0.0,10.133289,102.68354,7.8987337,0.00027761841,32.882269,45.688966824000005,0,0.6075949,3904.0,0.44,0.19,0.0077983011
2MASS J19383260+4603591 b,603.877,13.4,0.970094,406.0,0.92,0.33,6.7130803,45.065448,3.3630931,35.274521,607.65902,675.6442859200001,0,0.2509771,29564.0,0.48,0.2,28.183829
HD 134606 e,2.34,1.33,0.053754,4.3203,0.0527,0.2,1.3264232,1.7593985,1.322856,426.81842,1149.0711,1297.6953,0,0.99462858,5576.0,1.05,1.16,1.1614486
Kepler-32 f,0.477,0.82,0.013,0.74296,0.013,0.0,0.7626974,0.58170732,0.70939917,302.07396,1062.0086,1199.3718,0,0.86512094,3900.0,0.58,0.53,0.0510505
K2-317 b,8.91,2.93,0.0542,6.22,0.0542,1.7455481954600387e-07,1.7438336,3.0409556,1.0378688,4.5814339,372.692,418.120432,0,0.35422144,3387.0,0.4,0.38,0.013458604
HD 188641 b,9333.0312,11.9,12.033952,14583.81,12.027,0.034,28.005148,784.28833,65.906583,0.028506017,104.6501,124.3465096,0,5.5383683,5897.32,1.07,1.94,4.1209752
Kepler-423 b,189.101,13.361,0.035856471,2.6843285,0.03585,0.019,3.7620748,14.153207,1.0592925,746.6208,1331.5128,1468.9880288000002,0,0.079282426,5560.0,0.85,0.95,0.95940063
KOI-142 c,214.1,14.0,0.15437348,22.26492,0.154121,0.05724,3.9106083,15.292857,1.0923469,25.234168,570.5974,635.0247504,0,0.078024781,5466.0,0.99,0.9,0.5984116
TOI-1062 c,9.78,3.1,0.080784,7.972,0.08,0.14,1.7761866,3.1548387,1.0176899,83.968883,768.28068,867.6523,0,0.32828707,5328.0,0.94,0.84,0.53210826
TOI-1075 b,9.95,1.791,0.01159,0.6047328,0.01159,0.0,2.3570226,5.5555556,3.1019294,534.359,1224.7797,1383.1963,0,1.7319539,3875.0,0.6,0.58,0.071779429
HATS-15 b,689.6911,12.386,0.027335279,1.7474875,0.02712,0.126,7.4621122,55.683118,4.4956498,856.83208,1374.1119,1515.6766424000002,0,0.3629622,5311.0,0.87,0.92,0.62517269
GJ 3341 b,6.6,2.46,0.09327645,14.207,0.089,0.31,1.6379642,2.6829268,1.0906207,3.8473331,350.12782,395.41436,0,0.44334173,3526.0,0.47,0.44,0.028973436
GJ 581 b,15.8,4.11,0.04061,5.3686,0.04061,0.0,1.9606841,3.8442822,0.93534848,7.9019453,427.10358,477.75552368,0,0.2275787,3396.0,0.31,0.33,0.013031668
G 264-012 b,2.5,1.39,0.02279,2.30538,0.02279,1.1318903666605867e-07,1.3411045,1.7985612,1.2939289,20.535787,542.28494,612.42563,0,0.93088409,3326.0,0.3,0.3,0.010665961
EPIC 201833600 c,0.972,1.0,0.04154576,3.96151,0.04154576,1.5282540490712512e-07,0.9859006,0.972,0.972,77.436655,755.67726,853.41873,0,0.972,4292.67,0.61,0.63,0.13365955
EPIC 249893012 b,8.75,1.95,0.0470846,3.5951,0.047,0.06,2.1182964,4.4871795,2.3011177,1029.4077,1441.9592,1628.4663,0,1.1800604,5430.0,1.05,1.71,2.2698649
EPIC 249893012 c,14.67,3.67,0.1303185,15.624,0.13,0.07,1.9993187,3.9972752,1.0891758,134.64181,866.95161,959.82896456,0,0.29677815,5430.0,1.05,1.71,2.2698649
GJ 3293 d,7.6,2.67,0.19533637,48.1345,0.19394,0.12,1.6871402,2.8464419,1.0660831,0.5885927,222.52235,251.30403,2,0.39928207,3466.0,0.42,0.4,0.021978599
GJ 3998 c,6.26,2.38,0.089106844,13.74,0.089,0.049,1.6218052,2.6302521,1.1051479,5.1849191,384.22843,433.92563,0,0.46434787,3722.0,0.5,0.49,0.04102041
BD-08 2823 b,12.7132,3.61,0.060675,5.6,0.06,0.15,1.8766092,3.521662,0.97552965,66.472057,724.2853,803.4666888,0,0.27022982,4816.0,0.5,0.71,0.23659197
BD-10 3166 b,187.5197,14.1,0.040008,3.48777,0.04,0.02,3.6468164,13.29927,0.9432106,402.68634,1141.061,1260.252856,0,0.066894369,5393.0,1.47,0.91,0.64416927
GJ 720 A b,13.64,3.77,0.1198568,19.466,0.119,0.12,1.9021139,3.6180371,0.95969155,4.3157445,366.17093,410.97333928,0,0.25456009,3837.0,0.57,0.56,0.060673633
BD-13 2130 b,3108.3774,12.5,1.696603,714.29999,1.66,0.21,15.76928,248.67019,19.893615,40.980532,639.12284,710.12863264,0,1.5914892,4545.0,2.12,19.17,110.40786
HD 215152 d,2.801,1.48,0.08799,10.86499,0.08799,0.0,1.3757062,1.8925676,1.2787619,38.737658,635.5256,717.7263,0,0.86402829,4935.0,0.77,0.73,0.29991625
AB Pic b,4290.5,12.3,260.0,3398723025.5238414,260.0,1.208979328211521e-05,18.676754,348.82114,28.359442,8.7913041e-06,13.871168,24.852800128,0,2.3056457,5285.0,0.9,1.0,0.59429216
CoRoT-7 d,17.142,4.31,0.082130542,8.966,0.082130542,2.148743349670689e-07,1.9943074,3.9772622,0.92279865,75.681655,751.35878,833.13922288,0,0.21410642,5250.0,0.92,0.84,0.510505
K2-319 b,8.2,2.79,0.1516,26.68,0.1516,2.919320666710017e-07,1.7143711,2.9390681,1.0534294,25.211669,570.82122,635.27005712,0,0.37757327,5440.0,0.95,0.9,0.5794287
K2-323 b,5.06,2.1,0.1275,24.93,0.1275,2.677239928800487e-07,1.5522641,2.4095238,1.1473923,2.8182507,330.06131,372.75238,0,0.54637728,3710.0,0.48,0.55,0.045814189
KMT-2021-BLG-1105L b,413.17693,13.6,3.54,6453742.373483842,3.54,1.4106972903212743e-06,5.5118651,30.380657,2.2338718,1.942506747873308e-105,1.1535173600145434e-29,9.65,0,0.16425528,9.54855123321304e-24,0.63,1.5457460865399666,6.846082230068796e-81
OGLE2-TR-L9 b,1430.175,18.046,0.0308,2.4855335,0.0308,1.315853558810894e-07,8.9023387,79.251635,4.3916455,3426.8774,1949.0562,2145.8155952,0,0.24335839,6933.0,1.52,1.53,3.250873
GJ 229 b,14.93794,3.97,1.1746263,579.47495,1.086,0.404,1.9397694,3.7627053,0.94778471,0.025943805,98.922954,118.06955758400002,0,0.2387367,3564.0,0.51,0.46,0.027989813
HD 105618 c,8419.5923,11.9,36.014633,77114.072,35.731,0.126,26.599413,707.52877,59.456199,0.0011950463,47.221999,61.405310904,0,4.9963192,5671.0,1.01,1.27,1.5135612
HD 5608 b,371.22358,13.7,1.8008295,768.7,1.79,0.11,5.2054406,27.096612,1.9778549,4.4868076,369.90798,415.06914608,0,0.14436897,4807.0,1.29,5.43,14.28894
K2-318 b,3.39,1.66,0.0911,7.01,0.0911,2.2630356192300075e-07,1.4290447,2.0421687,1.2302221,6.3674163,404.66023,457.00014,0,0.74109765,3851.0,0.56,0.55,0.052844525
Kepler-1491 c,6.53,2.44,0.3045,61.569765,0.3045,0.0,1.6359186,2.6762295,1.0968154,24.424484,566.31239,639.56085,0,0.4495145,5626.0,0.99,1.39,2.2646443
Kepler-1979 b,79500.0,29.33,0.1383,18.508453,0.1383,0.0,52.062801,2710.5353,92.415114,42.10713,648.9162,720.8621552000001,0,3.1508733,5942.0,1.03,0.94,0.80537844
HIP 41378 b,6.54,2.443,0.12856901,15.572098,0.12856901,2.68844001605388e-07,1.6361652,2.6770364,1.0957988,150.56617,892.34247,1007.7606,0,0.44854637,6226.0,1.17,1.34,2.4888573
