P_NAME,P_MASS,P_RADIUS,P_DISTANCE,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_FLUX,P_TEMP_EQUIL,P_TEMP_SURF,P_HABITABLE,P_DENSITY,S_TEMPERATURE,S_MASS,S_RADIUS,S_LUMINOSITY
WASP-160 B b,88.35674,12.218,0.0452,3.7684952,0.0452,0.0,2.6891794,7.231686,0.59188787,235.35484,997.77012,1103.2060515200003,0,0.048443925,5298.0,0.87,0.87,0.48083935
GJ 1214 b,8.17,2.742,0.014929569,1.5804043,0.0149,0.063,1.7261451,2.979577,1.0866437,20.772608,543.43641,605.25630536,0,0.39629601,3250.0,0.18,0.21,0.0046025657
HAT-P-11 c,731.009,13.3,4.8758801,3407.0,4.13,0.601,7.4137091,54.963083,4.1325626,0.020017866,88.346248,106.47748780800002,0,0.31071899,4780.0,0.81,0.68,0.27289778
WASP-8 b,807.2882,12.666,0.083948805,8.15872,0.0801,0.31,7.9835226,63.736634,5.0321043,143.44149,865.1778,957.8848688,0,0.3972923,5600.0,1.34,1.03,0.87498378
HD 97658 b,8.3,2.12,0.080600625,9.4897116,0.0805,0.05,1.9786597,3.9150943,1.8467426,54.194072,690.85017,780.2067,0,0.87110501,5212.0,0.85,0.73,0.35075187
TrES-3 b,607.03,14.975,0.02282,1.3061858,0.02282,0.0,6.3668067,40.536227,2.7069267,1200.5181,1499.4842,1653.0846832000004,0,0.18076305,5650.0,0.93,0.83,0.62517269
WASP-164 b,676.9779,12.644,0.02818,1.7771255,0.02818,0.0,7.3172013,53.541435,4.234533,1079.24,1460.0886,1609.9071056000002,0,0.33490454,5806.0,0.95,0.93,0.85703785
HD 86226 b,143.0235,14.3,2.7347516,1628.0,2.73,0.059,3.1625375,10.001643,0.69941562,0.15864702,160.66594,185.73987024,0,0.048910183,5863.0,1.02,1.05,1.1803206
HD 5278 b,7.8,2.45,0.12058464,14.339156,0.1202,0.08,1.7842851,3.1836735,1.2994586,132.30775,862.92582,974.53911,0,0.53039125,6203.0,1.13,1.19,1.9054607
K2-237 b,433.20012,16.197,0.035611382,2.1805354,0.03558,0.042,5.1716246,26.745701,1.651275,1857.6825,1671.8559,1842.0040664000005,0,0.10194943,6360.0,1.26,1.26,2.3496328
HAT-P-25 b,180.84527,12.722,0.046612326,3.6528151,0.0466,0.023,3.7702998,14.21516,1.1173684,324.59593,1081.166,1194.607936,0,0.087829615,5519.0,1.01,0.92,0.70469307
WASP-93 b,467.2101,17.901,0.04211,2.7325321,0.04211,0.0,5.1087831,26.099665,1.4580004,2340.0736,1771.769,1951.508824,0,0.081447985,6700.0,1.33,1.52,4.1495404
TOI-892 b,301.9385,11.994,0.09271875,10.62656,0.092,0.125,5.0173827,25.174129,2.0988935,321.25068,1075.3006,1188.1794576000002,0,0.17499529,6261.0,1.28,1.39,2.6977394
HAT-P-5 b,311.4734,13.563,0.04073,2.78849,0.04073,0.0,4.7921742,22.964934,1.6932046,927.19521,1405.6995,1550.2966520000002,0,0.12483998,5960.0,1.04,1.12,1.5381546
HD 108236 c,4.94,2.071,0.062035836,6.203449,0.062,0.034,1.5444485,2.3853211,1.1517726,184.27558,938.36646,1059.7375,0,0.55614323,5660.0,0.87,0.88,0.70794578
WASP-156 b,40.68224,5.717,0.04530111,3.836169,0.0453,0.007,2.6675854,7.1160119,1.2447108,178.98401,931.74974,1030.84771504,0,0.21772098,4910.0,0.84,0.76,0.3672823
WASP-98 b,293.03926,12.823,0.037712169,2.9626404,0.03762,0.07,4.7804423,22.852629,1.7821593,310.61974,1068.4572,1180.6790912000004,0,0.13898146,5473.0,0.81,0.74,0.4385307
WASP-183 b,159.55066,16.477,0.04632,4.1117771,0.04632,1.6136765077479916e-07,3.1117896,9.6832348,0.58768191,288.0467,1049.4589,1159.8569544000002,0,0.035666803,5313.0,0.78,0.87,0.6180164
WASP-192 b,731.009,13.787,0.0408,2.8786765,0.0408,0.0,7.2815942,53.021615,3.8457688,1149.9519,1483.4388,1635.4989248000002,0,0.27894167,5910.0,1.09,1.32,1.9142559
HD 108236 f,4.72,2.017,0.17602863,29.54115,0.1758,0.051,1.5297415,2.3401091,1.1601929,22.936534,557.21093,629.28218,0,0.57520719,5660.0,0.87,0.88,0.70794578
WASP-138 b,387.7526,12.218,0.0494,3.634433,0.0494,1.6664630000336889e-07,5.633487,31.736176,2.5974935,1115.6966,1472.2658,1623.2533168,0,0.21259564,6272.0,1.22,1.36,2.7227013
